,predicted_rating,actual_rating,user_id,item_id,review
0,4.6642275,5.0,3800,158,"먹어본 평양냉면 중에 제일 맛있었습니다 다른 곳들은 좀 짜다는 느낌이 강했는데 서령은 그렇지 않았어요 비록 1시간 반을 기다렸지만 먹으면서 그럴만한 가치가 있다고 생각했습니다 평양냉면은 무조건 먹어보는 걸 추천하고 기대했던 항정수육은 그냥 맛있는 항정수육 정도? 촉촉하고 약간 꼬들한 식감이 좋았지만 굳이 여기서 꼭 먹어야되나 싶었습니다 다음 번에는 만두를 먹어볼 것 같아요 직원분들도 굉장히 친절하시고 맛도 좋았는데 웨이팅이 무서워서 여름엔 다시 못 가볼 것 같고 날이 좀 풀리고 평양냉면 인기가 좀 사그라들면 그때 다시 가보고 싶습니다! 평양냉면 먹어본 중에 제일 맛있었어요 은은한 육수의 향이 정말 좋았습니다        ...더보기
"
1,4.4578557,5.0,2638,158,"평양냉면계의 신흥강자, 미슐랭 원스타의 위엄 -육수 한 숟갈부터 압도적인 육향. 메밀 100% 면이 믿기지 않을 정도로 부드럽고 술술 넘어감. 들기름 막국수도 자칫 느끼할 수 있는데 전혀 그렇지 않고 절묘하게 어울림.서령초는 꼭 뿌려 먹어야 제맛. 매장에서 직접 빚는 만두는 속이 꽉 차고 감칠맛이 살아있음.직원들 응대도 친절해서 외국인 손님 접대하기에도 부족함 없음. 점심 피크타임엔 웨이팅 있지만 회전율 빨라서 금방 들어감.냉면 좋아한다면 일부러 찾아가볼 만한 집. 평냉계에 새로운 기준을 세운 느낌.        ...더보기
"
2,4.849044,5.0,4628,158,"주말 저녁 오픈 30분 전에 가서 웨이팅 걸었더니 바로 들어감. 평냉 러버 친구한테 추천받아서 갔는데 넘 맛있었음! 항정수육도 비계 적어서 내취향ㅎㅎ        ...더보기
"
3,5.0,4.5,4711,158,"깔끔하고 맛있는 평냉!! 수육도 너무 맛있어서 꼭 같이 먹어줘야함!!        ...더보기
"
4,4.4990826,5.0,3097,158,"가격은 평양냉면이라 그런지 조금 있는편
저는 기본 물을 추천드립니다        ...더보기
"
5,2.873943,3.5,1001,215,"내부는 고급진 느낌인데 서버분들이 너무 바쁘고 정신없어 보여서 서비스는 매우 떨어지는 편
평냉 맛나지만 들어간 김치가 내스탈은 아녔고
갈비탕은 국물이 사골이라 내스탈 아녔다 ㅎㅎ        ...더보기
"
6,4.4690475,5.0,2999,215,"진정한 평냉러버는 겨울에 출몰하는법
오랜만에 방문했는데 
뭔가 바뀐것 같은 느낌        ...더보기
"
7,3.8565674,5.0,1331,215,"을지로 골목 안  오래된 전통의 맛집, 우래옥.
건너편 문화옥에도 어르신들이 정겹게 앉아계시네요^^ 
소불고기와 육개장을 함께 즐겼습니다
좋은 소고기와 알맞은 양념의 조화가 좋은 불고기는 가격대가 있어도 만족스러웠습니다.
냉면사리를 넣어 온면처럼 즐기면 별미입니다.
평일 저녁 6시전 도착하니 웨이팅 괴로움 없었네요.        ...더보기
"
8,4.780772,5.0,958,215,"겉절이 너무 맛있어요.
평냉 입문용으로 딱이에요.
다만 주말 기준 웨이팅 2시간 이상 생각하고 방문하셔야 해요.        ...더보기
"
9,4.296734,4.0,2263,215,"미슐랭 맛집답게 사람도 많고 가격도 비싸요.. 혼밥도 가능합니다. 보통은 고기랑 평냉 같이 드시던데 값이 비싸다보니 대부분은 냉면만 먹고갑니다. 많이 맵지도 않고 맛있습니다. 비싸긴해도 재방문하고싶어요.        ...더보기
"
10,4.068713,4.0,2969,215,"평양냉면, 불고기의 맛 자체만 따지면 잘하는 집이다. 전통과 소문에 걸맞는 타이틀을 가진 곳. 육수의 육향이 평냉치고 살짝 짭쪼름하게 느껴져서 간이 아주 잘 맞는다. 평냉 초심자에게도 충분히 추천할 수 있는 맛.
다만 평양냉면이라는 음식 자체의 가격이 전국적으로 원재료에 비해 너무 뻥튀기 되어있는 귀족음식이다. 소화도 금방 되는 탄수화물 덩어리에 어떤 제조법과 노하우가 있든 한 끼에 16,000원은 납득되지 않는 가격이다.
특히 양념 포함 300g에 37,000원인 불고기의 가성비가 압권이다. 첫 입에 고급진 불고기라는 느낌이 들긴 했지만 그렇다고 해도 가격값을 한다는 느낌이 전혀 없다. 얘도 질기긴 질겼기 때문에.        ...더보기
"
