,item_name,item_area,item_avg_rating,item_spec_area,user_name,user_tot_avg_rating,user_tot_rating_num,user_tot_follow_num,user_rating,user_query,taste,price,service,menu,date
0,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
배뚱얼통
",4.6,21,0,5점,"처음 식사가 나왔을 땐 양이 너무 적어보여 추가메뉴 생각을 했는데 먹다보니 은근 양이 많아요.. 전복리조또는 전복이 많이 씹혀서 좋았고 특히 양념장이 깻잎이 들어갔는지 깻잎향이 한결 더 맛을 풍부하게 해줍니다. 쭈꾸미 오일파스타 역시 쭈꾸미가 충분히 들어가있어 씹는맛도 좋고, 페퍼치노와 다진마늘로 오일만의 느끼함을 잡아주어 깔끔하게 맛있는 느낌의 식사를 할 수 있어 좋았습니다.",맛: 맛있음,가격: 만족,응대: 친절함,"쭈꾸미오일파스타, 전복 솥밥 리조또",8월 14일
1,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
멸치보끔
",4.5,99,21,4.5점,예약해야지만 식사 가능한줄 알았는데 아닌가보네요. 이른 평일 저녁에 웨이팅 없이 바로 들어갔어요. 리코타 치즈 멜트 & 비스크에 나오는 스프 너무 맛있어요! 랍스타 스프 맛이에요. 바다의 향과 가재의 맛을 동시에 느낄 수 있어요. 파스타도 잘 먹었어요. 평소에 오일파스타 별로 선호하지 않는데 이건 괜찮았어요. 엔초비가 들어가서 더 맛있어요. 내부 분위기가 밝고 좋네요. 치즈 디저트도 먹어보고 싶었는데 배불러서 못먹었어요. 다음에 또 방문할 예정!,맛: 맛있음,가격: 보통,응대: 친절함,"리코타 치즈 멜트 & 비스크, 허니 엔초비 아라비아따",1일 전
2,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
오이시쿠루메론빵
",4.2,239,8,4점,미리 예약 후 주말 오후에 방문했어요. 가게 채광이 좋고 전체적으로 깔끔한 느낌이라 좋았고 음식도 맛있었어요. 역시 치즈케이크가 역시 제일 맛있었던 것 같아요,맛: 맛있음,가격: 보통,응대: 보통,"시금치 플랫브레드, 쭈꾸미파스타",6월 16일
3,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
다코미식가
햇반
",4.5,1137,90,5점,"맛있는데 가격이 정말 비싸요
가격대비 양이 적어서 더 비싸다고 생각이 드나봐요
근데 맛있어요",맛: 맛있음,가격: 만족,응대: 친절함,시금치 플랫브레드,7월 5일
4,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
제이미제이
",4.6,8,0,4.5점,"예약을 미리하고 방문했습니다. 모든 메뉴가 맛있었고, 특히 포도플랫브레드가 참 맛있었어요. 디저트로 먹음 치즈케이크도 입안에서 살살 녹았습니다. 식사부터 후식까지 한 곳에서 해결할 수 있는데 어느 한 쪽도 부족하지 않는 퀄리티였어요. 가격이 싸진 않지만 위치적 메리트도 있고, 종종 방문할 만한 곳이라 생각합니다.",맛: 맛있음,가격: 보통,응대: 친절함,"리코타 포도 플랫브래드, 얼그레이 카프레제, 발사믹 관자와 감자퓨레",1월 29일
5,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
눈누난나2
",4.6,51,1,5점,"음식 하나하나 너무 맛있었어요.
가격대가 좀 있는 편이지만 또 방문 할 것 같아요.",맛: 맛있음,가격: 불만,응대: 친절함,시금치 플랫브레드,2024년 12월 26일
6,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
hellosy
",4.8,267,2,5점,매장이 넓어서 웨이팅이 있어도 금방 들어가네요. 다만 음식이 너무 늦게나와요.. 파스타 30분이상 걸리네요;;,맛: 보통,가격: 만족,응대: 친절함,트러플파케리파스타,2월 21일
7,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
뚜벅냠이
",4.7,75,0,5점,시금치 플랫브래드는 강추입니다. 너무 맛있어서 재방문하고 싶어요. 가격은 꽤 비싼편입니다.,맛: 맛있음,가격: 보통,응대: 친절함,"시금치 플랫브레드, 명란 대파 우유 파스타",4월 26일
8,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
딸기진
",4.9,40,1,5점,파게리랑 시금치피자가 제일 맛있어요!! 비싸지만 생각나는 맛입니당,맛: 맛있음,가격: 보통,응대: 친절함,시금치 플랫브레드,3월 13일
9,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
먹는행복
",4.1,114,0,5점,주문한 메뉴 모두 맛있게 먹었고 매장 인테리어도 너무 예뻐서 사진도 많이 찍게됨,맛: 맛있음,가격: 보통,응대: 친절함,시금치 플랫브레드,2월 4일
10,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
큠린이
",5.0,7,0,5점,"맛은 있는데 가격이... 생각보다 너무 비싸더라구요ㅜㅜ 그리고 알바생분인거 같았는데 너무 대충하시더라구요, 여기는 어른분들도 많이 오시는거 같은데 교육이 필요해보입니다 그래도 맛있게 잘 먹었습니다!",맛: 맛있음,가격: 불만,응대: 보통,"관자 발사믹 감자퓨레, 아라비아따",2024년 4월 25일
11,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
배민vip
",4.4,131,3,5점,"마이 페이보릿,,,,💗
트러플파케리파스타+시금치플랫브레드 굿굿
두번 방문했는데 두번 다 동일한 메뉴먹음
느끼한거 잘 못먹는 사람으로서 치즈케익은 입에 잘 안맞았음
내부 분위기도 너무 좋음 
당일 현장 워크인 방문 어렵고 최소 하루 전날 예약해야함
가격대는 좀 있는편",맛: 맛있음,가격: 보통,응대: 친절함,"시금치 플랫브레드, 치즈케이크 조각 (오리지널/말차), 트러플 파케리 파스타",2024년 3월 16일
12,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
지츄우
",4.6,179,12,4점,"치즈케이크가 너무 맛있길래 식사도 하러 갔어요. 사진엔 없지만 제 인생 치케였어요.
음식들도 고급스럽고 맛있었어요. 양에 비해 가격이 높은게 조금 부담스럽긴하지만 데이트하거나 소중한 사람들과 식사하기 좋은 장소인 것 같아요.",맛: 맛있음,가격: 보통,응대: 보통,"전복 솥밥 리조또, 보드카 리가토니 파스타",2024년 10월 16일
13,치즈룸 X 테이스팅룸 월드타워,롯데월드몰,4.2,서울특별시 송파구 신천동 29  롯데월드몰 5F,"
고롱
",4.5,479,13,5점,모든 메뉴의 맛은 100점입니다만 매장 내 테이블이 간격이 좁은 편이라 창가 자리 제외하고는 식사 시 분위기 내기 힘든 편입니다. 배불러도 후식으로 케잌은 꼭 드시면 좋겠어요.,맛: 맛있음,가격: 만족,응대: 친절함,"산 세바스챤 치즈 케이크, 트러플 파케리 파스타, 발사믹 관자와 감자 퓨레, 전복 솥밥 리조또",2023년 8월 10일
